20190901, 128028
20190902, 228039
20190903, 140757
20190904, 201357
20190905, 196952
20190906, 216153
20190907, 142281
20190908, 136423
20190909, 287812
20190910, 221246
20190911, 104301
20190912, 141412
20190913, 118874
20190914, 99987
20190915, 116385
20190916, 58278
20190917, 148258
20190918, 114057
20190919, 40554
20190920, 69159
20190921, 168041
20190922, 106503
20190923, 87396
20190924, 141952
20190925, 125379
20190926, 214597
20190927, 264939
20190928, 136965
20190929, 77001
20190930, 225978
